what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1398912922356
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1398912922359
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1398912922360
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1398912922362
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1398912922362
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1398912922364
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1398912922366
os,sysinfo,,,"win32",1398912922372
arch,sysinfo,,,"x86",1398912922372
ws,sysinfo,,,"win32",1398912922372
locale,sysinfo,,,"es_ES",1398912922372
processors,sysinfo,,,"4",1398912922373
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398912922373
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1398912922373
java.specification.name,sysinfo,,,"Java Platform API Specification",1398912922373
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398912922373
java.specification.version,sysinfo,,,"1.7",1398912922373
java.vendor,sysinfo,,,"Oracle Corporation",1398912922373
java.version,sysinfo,,,"1.7.0_51",1398912922373
java.vm.info,sysinfo,,,"mixed mode, sharing",1398912922373
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1398912922373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398912922373
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398912922373
java.vm.specification.version,sysinfo,,,"1.7",1398912922373
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398912922373
java.vm.version,sysinfo,,,"24.51-b03",1398912922373
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1398912922946
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1398912923199
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1398912923354
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1398912924077
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1398912924126
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1398912924395
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1398912924465
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1398912924469
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1398912924514
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1398912924558
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1398912924805
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1398912925487
